Name;IPS10   ;IPS11   ;IPS299  ;IPS12   ;IPS13   ;IPS18   ;IPS25   ;IPS32   ;IPS34   ;IPS38   ;IPS43   ;IPS307  ;IPS306  ;PMP     ;UTL11   ;CES275  ;CES277  ;CES278  ;CES275R  ;CES277R  ;CES278 R ;CES002  ;CES003  ;CES006  ;CES011  ;CES015  ;CES017  ;CES033  ;CES046  ;CES048  ;CES049  ;CES053  ;CES088  ;CES140  ;LHEL    ;LHELX   ;LHEM    ;LHNAG   ;LHUR    ;LHU680  ;LHU5    ;LHU14   ;LHU15   ;LHU26   ;LHU27   ;CES151  ;CES155  ;HSBR    ;HSFR    ;HSNE    ;HSMW    ;HSSOU   ;HSWST   ;FYFF    ;FYGM3   ;FYGM6   ;FYGT1   ;FYGT5   ;FYGT10  ;FYAAAC  ;FYBAAC  ;Sfygm6;Sfygt1;Sfygt10;sFYAAAC  ;sFYBAAC  ;FM1     ;MZMSL;FM2;FMFBA   ;FMRRA   ;FMRNBA  ;BUSLOANS;CCINRV  ;PI071   ;PI072   ;PI073   ;PI074   ;CPIAUCSL;CPILFESL;PCEPILFE;PWFSA   ;PWFCSA  ;PWIMSA  ;PWCMSA  ;PWCMSAR ;PSCCOM  ;PSCCOMR ;PW561   ;PW561R   ;PMCP    ;EXRUS   ;EXRSW   ;EXRJAN  ;EXRUK   ;EXRCAN  ;FSPCOM  ;FSPIN   ;FSDXP   ;FSPXE   ;FSDJ    ;HHSNTN  ;PMI     ;PMNO    ;PMDEL   ;PMNV    ;MOCMQ   ;MSONDQ  
Long Desc.;INDUSTRIAL PRODUCTION INDEX -  TOTAL INDEX;INDUSTRIAL PRODUCTION INDEX -  PRODUCTS, TOTAL;INDUSTRIAL PRODUCTION  INDEX -  FINAL PRODUCTS;INDUSTRIAL PRODUCTION INDEX -  CONSUMER GOODS;INDUSTRIAL PRODUCTION INDEX -  DURABLE CONSUMER GOODS;INDUSTRIAL PRODUCTION INDEX -  NONDURABLE CONSUMER GOODS;INDUSTRIAL PRODUCTION INDEX -  BUSINESS EQUIPMENT;INDUSTRIAL PRODUCTION INDEX -  MATERIALS;INDUSTRIAL PRODUCTION INDEX -  DURABLE GOODS MATERIALS;INDUSTRIAL PRODUCTION INDEX -  NONDURABLE GOODS MATERIALS;INDUSTRIAL PRODUCTION INDEX -  MANUFACTURING (SIC);INDUSTRIAL PRODUCTION  INDEX -  RESIDENTIAL UTILITIES;INDUSTRIAL PRODUCTION  INDEX -  FUELS;NAPM PRODUCTION INDEX (PERCENT);CAPACITY UTILIZATION - MANUFACTURING (SIC);AVG HRLY EARNINGS, PROD WRKRS, NONFARM - GOODS-PRODUCING;AVG HRLY EARNINGS, PROD WRKRS, NONFARM - CONSTRUCTION;AVG HRLY EARNINGS, PROD WRKRS, NONFARM - MFG;REAL AVG HRLY EARNINGS, PROD WRKRS, NONFARM - GOODS-PRODUCING (CES275/PI071);REAL AVG HRLY EARNINGS, PROD WRKRS, NONFARM - CONSTRUCTION (CES277/PI071);REAL AVG HRLY EARNINGS, PROD WRKRS, NONFARM - MFG (CES278/PI071);EMPLOYEES, NONFARM - TOTAL PRIVATE;EMPLOYEES, NONFARM - GOODS-PRODUCING;EMPLOYEES, NONFARM - MINING;EMPLOYEES, NONFARM - CONSTRUCTION;EMPLOYEES, NONFARM - MFG;EMPLOYEES, NONFARM - DURABLE GOODS;EMPLOYEES, NONFARM - NONDURABLE GOODS;EMPLOYEES, NONFARM - SERVICE-PROVIDING;EMPLOYEES, NONFARM - TRADE, TRANSPORT, UTILITIES;EMPLOYEES, NONFARM - WHOLESALE TRADE;EMPLOYEES, NONFARM - RETAIL TRADE;EMPLOYEES, NONFARM - FINANCIAL ACTIVITIES;EMPLOYEES, NONFARM - GOVERNMENT;"INDEX OF HELP-WANTED ADVERTISING IN NEWSPAPERS (1967=100;SA)";"EMPLOYMENT: RATIO; HELP-WANTED ADS:NO. UNEMPLOYED CLF";CIVILIAN LABOR FORCE: EMPLOYED, TOTAL (THOUS.,SA);CIVILIAN LABOR FORCE: EMPLOYED, NONAGRIC.INDUSTRIES (THOUS.,SA);UNEMPLOYMENT RATE: ALL WORKERS, 16 YEARS & OVER (%,SA);UNEMPLOY.BY DURATION: AVERAGE(MEAN)DURATION IN WEEKS (SA);UNEMPLOY.BY DURATION: PERSONS UNEMPL.LESS THAN 5 WKS (THOUS.,SA);UNEMPLOY.BY DURATION: PERSONS UNEMPL.5 TO 14 WKS (THOUS.,SA);UNEMPLOY.BY DURATION: PERSONS UNEMPL.15 WKS + (THOUS.,SA);UNEMPLOY.BY DURATION: PERSONS UNEMPL.15 TO 26 WKS (THOUS.,SA);UNEMPLOY.BY DURATION: PERSONS UNEMPL.27 WKS + (THOUS,SA);AVG WKLY HOURS, PROD WRKRS, NONFARM - GOODS-PRODUCING;AVG WKLY OVERTIME HOURS, PROD WRKRS, NONFARM - MFG;HOUSING AUTHORIZED: TOTAL NEW PRIV HOUSING UNITS (THOUS.,SAAR);"HOUSING STARTS:NONFARM(1947-58);TOTAL FARM&NONFARM(1959-)(THOUS.,SA";HOUSING STARTS:NORTHEAST (THOUS.U.)S.A.;HOUSING STARTS:MIDWEST(THOUS.U.)S.A.;HOUSING STARTS:SOUTH (THOUS.U.)S.A.;HOUSING STARTS:WEST (THOUS.U.)S.A.;INTEREST RATE: FEDERAL FUNDS (EFFECTIVE) (% PER ANNUM,NSA);INTEREST RATE: U.S.TREASURY BILLS,SEC MKT,3-MO.(% PER ANN,NSA);INTEREST RATE: U.S.TREASURY BILLS,SEC MKT,6-MO.(% PER ANN,NSA);INTEREST RATE: U.S.TREASURY CONST MATURITIES,1-YR.(% PER ANN,NSA);INTEREST RATE: U.S.TREASURY CONST MATURITIES,5-YR.(% PER ANN,NSA);INTEREST RATE: U.S.TREASURY CONST MATURITIES,10-YR.(% PER ANN,NSA);BOND YIELD: MOODY'S AAA CORPORATE (% PER ANNUM);BOND YIELD: MOODY'S BAA CORPORATE (% PER ANNUM);fygm6-fygm3;fygt1-fygm3;fygt10-fygm3;FYAAAC-Fygt10;FYBAAC-Fygt10;MONEY STOCK: M1(CURR,TRAV.CKS,DEM DEP,OTHER CK'ABLE DEP)(BIL$,SA);MZM (SA) FRB St. Louis;MONEY STOCK:M2(M1+O'NITE RPS,EURO$,G/P&B/D MMMFS&SAV&SM TIME DEP(BIL$,;MONETARY BASE, ADJ FOR RESERVE REQUIREMENT CHANGES(MIL$,SA);DEPOSITORY INST RESERVES:TOTAL,ADJ FOR RESERVE REQ CHGS(MIL$,SA);DEPOSITORY INST RESERVES:NONBORROWED,ADJ RES REQ CHGS(MIL$,SA);Commercial and Industrial Loans at All Commercial Banks (FRED) Billions $ (SA);CONSUMER CREDIT OUTSTANDING - NONREVOLVING(G19);Personal Consumption Expenditures, Price Index (2000=100) , SAAR;Personal Consumption Expenditures - Durable Goods, Price Index (2000=100) , SA;Personal Consumption Expenditures - Nondurable Goods, Price Index (2000=100) ,;Personal Consumption Expenditures - Services, Price Index (2000=100) , SAAR;CPI All Items (SA) Fred;CPI Less Food and Energy (SA) Fred;PCE Price Index Less Food and Energy (SA) Fred;PRODUCER PRICE INDEX: FINISHED GOODS (82=100,SA);PRODUCER PRICE INDEX:FINISHED CONSUMER GOODS (82=100,SA);PRODUCER PRICE INDEX:INTERMED MAT.SUPPLIES & COMPONENTS(82=100,SA);PRODUCER PRICE INDEX:CRUDE MATERIALS (82=100,SA);Real PRODUCER PRICE INDEX:CRUDE MATERIALS (82=100,SA) (PWSMSA/PCEPILFE);SPOT MARKET PRICE INDEX:BLS & CRB: ALL COMMODITIES(1967=100);Real SPOT MARKET PRICE INDEX:BLS & CRB: ALL COMMODITIES(1967=100) (PSCCOM/PCEPILFE);PRODUCER PRICE INDEX: CRUDE PETROLEUM (82=100,NSA);PPI Crude (Relative to Core PCE) (pw561/PCEPiLFE);NAPM COMMODITY PRICES INDEX (PERCENT);"UNITED STATES;EFFECTIVE EXCHANGE RATE(MERM)(INDEX NO.)";FOREIGN EXCHANGE RATE: SWITZERLAND (SWISS FRANC PER U.S.$);FOREIGN EXCHANGE RATE: JAPAN (YEN PER U.S.$);FOREIGN EXCHANGE RATE: UNITED KINGDOM (CENTS PER POUND);FOREIGN EXCHANGE RATE: CANADA (CANADIAN $ PER U.S.$);S&P'S COMMON STOCK PRICE INDEX: COMPOSITE (1941-43=10);S&P'S COMMON STOCK PRICE INDEX: INDUSTRIALS (1941-43=10);S&P'S COMPOSITE COMMON STOCK: DIVIDEND YIELD (% PER ANNUM);S&P'S COMPOSITE COMMON STOCK: PRICE-EARNINGS RATIO (%,NSA);COMMON STOCK PRICES: DOW JONES INDUSTRIAL AVERAGE;U. OF MICH. INDEX OF CONSUMER EXPECTATIONS(BCD-83);PURCHASING MANAGERS' INDEX (SA);NAPM NEW ORDERS INDEX (PERCENT);NAPM VENDOR DELIVERIES INDEX (PERCENT);NAPM INVENTORIES INDEX (PERCENT);NEW ORDERS (NET) - CONSUMER GOODS & MATERIALS, 1996 DOLLARS (BCI);NEW ORDERS, NONDEFENSE CAPITAL GOODS, IN 1996 DOLLARS (BCI)
Short Desc;IP: total;IP: products;IP: final prod;IP: cons gds;IP: cons dble;iIP:cons nondble;IP:bus eqpt;IP: matls;IP: dble mats;IP:nondble mats;IP: mfg;IP: res util;IP: fuels;NAPM prodn;Capacity Util;AHE: goods;AHE: const;AHE: mfg;Real AHE: goods;Real AHE: const;Real AHE: mfg;Emp: total;Emp: gds prod;Emp: mining;Emp: const;Emp: mfg;Emp: dble gds;Emp: nondbles;Emp: services;Emp: TTU;Emp: wholesale;Emp: retail;Emp: FIRE;Emp: Govt;Help wanted indx;Help wanted/emp;Emp CPS total;Emp CPS nonag;U: all;U: mean duration;U < 5 wks;U 5-14 wks;U 15+ wks;U 15-26 wks;U 27+ wks;Avg hrs;Overtime: mfg;;HStarts: Total;HStarts: NE;HStarts: MW;HStarts: South;HStarts: West;FedFunds;3 mo T-bill;6 mo T-bill;1 yr T-bond;5 yr T-bond;10 yr T-bond;Aaabond;Baa bond;fygm6-fygm3;fygt1-fygm3;fygt10-fygm3;FYAAAC-Fygt10;FYBAAC-Fygt10;M1;MZM;M2;MB;Reserves tot;Reserves nonbor;BUSLOANS;Cons credit;PCED-All;PCED-Dur;PCED-Ndur;PCED-Serv;CPI-ALL;CPI-Core;PCED-Core;PPI: fin gds;PPI: cons gds;PPI: int mat’ls;PPI: crude mat’ls;Real PPI: crude mat’ls;Commod: spot price;Com: spot price (real);PPI CrudeOil;OilPrice (Real);NAPM com price;Ex rate: avg;Ex rate: Switz;Ex rate: Japan;Ex rate: UK;EX rate: Canada;S&P 500;S&P: indust;S&P div yield;S&P PE ratio;DJIA;Consumer expect;PMI;NAPM new ordrs;NAPM vendor del;NAPM Invent;Orders (ConsGoods);Orders (NDCapGoods)
AggCode;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tcode;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;5;5;2;2;5;5;5;5;5;1;2;4;4;4;4;4;4;2;2;2;2;2;2;2;2;1;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;5;6;5;1;5;5;5;5;5;5;5;2;2;5;2;1;1;1;1;5;5
OutlierCode;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Include;2;2;2;2;1;1;1;2;1;1;1;0;1;1;1;0;0;0;2;1;1;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;2;1;2;1;2;2;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;2;2;2;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CatCode;2;2,01;2,02;2,03;2,04;2,05;2,06;2,07;2,08;2,09;2,1;2,11;2,12;2,13;2,14;7,6;7,61;7,62;8,2;8,21;8,22;3;3,001;3,011;3,021;3,031;3,041;3,051;3,061;3,071;3,081;3,091;3,101;3,111;3,2;3,21;3,22;3,23;4;4,01;4,02;4,03;4,04;4,05;4,06;3,5;3,51;5,001;5;5,01;5,02;5,03;5,04;9;9,01;9,02;9,03;9,04;9,05;9,06;9,07;9,08;9,09;9,1;9,11;9,12;10;10,01;10,02;10,03;10,04;10,05;10,06;10,07;7,5;7,51;7,52;7,53;7,15;7,17;7,16;7,54;7,55;7,56;7,57;7,7;7,71;7,72;7,73;7,74;7,75;11;11,01;11,02;11,03;11,04;12;12,01;12,02;12,03;12,04;13;6;6,01;6,02;6,03;6,04;6,05
Tab4Code;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9;0;0;0;6;6;6;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;7;7;7;7;7;7;7;7;7;7;7;7;7;8;8;8;8;8;8;8;8;0;0;0;0;6;6;6;0;0;0;0;0;0;6;0;6;6;7;7;7;7;7;7;7;7;7;7;9;5;5;5;5;5;5
Scale;400;400;400;400;400;400;400;400;400;400;400;400;400;1;1;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;1;1;400;400;1;1;400;400;400;400;400;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;1;400;400;400;400;400;400;400;1;1;400;1;1;1;1;1;400;400
1\1\1959;24,5571;24,0032;23,4904;30,0408;18,4688;36,1299;11,066;24,6788;15,9953;28,5993;22,3632;20,1633;45,3985;70,7;80,1973;2,13;2,45;2,04;10,4848634;12,06005415;10,041841;44376;18796;713;2993;14998;8740;6258;33685;10790;2588,2;5349;2418;8105;32;0,583;63868;58387;6;16,3;1574;1169;1396;594;802;39,8;2,5;1478;1657;350;452;505;350;2,48;2,82;3,09;3,36;4,01;4,02;4,12;4,87;0,27;0,54;1,2;0,1;0,85;138,9;274,9;286,6;40425;11112;10560;35,6;48961,16;20,315;45,513;22,642;15,378;29,010;29,900;20,872;33,1;33,4;30,6;31,6;151,3990034;100,1;479,5898812;13,7;65,63817555;59,1;105,17;4,3121;359,84;280,6465;0,9671;55,62;59,3;3,24;19,65;592,29;95,2;64,4;69;61,8;45,5;47,769;8,21
